Overs,Total Runs (B),Total Runs (P),Runs Per Over (B),Runs Per Over (P),Six (B),Six (P),Wickets Per Over (B),Wickets Per Over (P)
1,2,3,2,3,N,N,0,0
2,11,7,9,4,Y,N,1,0
3,14,9,3,2,N,N,0,0
4,23,17,9,8,Y,Y,0,0
5,25,25,2,8,N,Y,0,0
6,33,28,8,3,Y,N,0,0
7,37,32,4,4,N,N,0,1
8,39,35,2,3,N,N,1,0
9,42,38,3,3,N,N,0,0
10,52,46,10,8,Y,Y,0,0
11,55,55,3,9,N,N,0,0
12,69,60,14,5,N,N,0,0
13,74,66,5,6,N,Y,0,0
14,80,80,6,14,N,N,0,0
15,89,83,9,3,N,N,1,0
16,95,99,6,16,N,N,0,1
17,100,106,5,7,N,N,0,0
18,110,110,10,4,N,N,0,0
19,116,117,6,7,N,N,2,0
20,124,127,8,10,N,N,2,3
